PacketCounter;Acc_X;Acc_Y;Acc_Z;FreeAcc_X;FreeAcc_Y;FreeAcc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3;label
5068;-2.142452;9.500978;-1.452495;0.034131;0.154881;0.033289;0.063321;0.100236;0.023954;0.496338;-0.778564;0.385498;0.628351;0.651787;0.379974;0.189655;POINTING
5069;-2.174385;9.371677;-1.399574;0.012684;0.080607;-0.091143;0.021278;0.091554;0.026851;0.501953;-0.78125;0.390137;0.628086;0.651811;0.380193;0.190011;POINTING
5070;-2.273416;9.288622;-1.386138;-0.070941;-0.004633;-0.150222;0.023541;0.084956;0.032882;0.493896;-0.779541;0.386719;0.627823;0.651855;0.380393;0.190328;POINTING
5071;-2.34636;9.290361;-1.293709;-0.062145;-0.128621;-0.144726;0.052166;0.06495;0.036377;0.484375;-0.778076;0.385986;0.627498;0.652019;0.380527;0.190568;POINTING
5072;-2.409006;9.296147;-1.328881;-0.127207;-0.151286;-0.119983;0.058919;0.039676;0.045331;0.495605;-0.776367;0.386719;0.627189;0.652233;0.380581;0.190746;POINTING
5073;-2.326626;9.245262;-1.217313;-0.008326;-0.189515;-0.203633;0.064637;0.010122;0.033362;0.495361;-0.777588;0.38501;0.626931;0.652483;0.380564;0.190774;POINTING
5074;-2.327517;9.310847;-1.203347;0.020349;-0.20339;-0.142348;0.076179;-0.001445;0.019445;0.490479;-0.773682;0.38501;0.626683;0.652747;0.380577;0.19066;POINTING
5075;-2.340457;9.381411;-1.265096;-0.007786;-0.168199;-0.062778;0.058221;-0.014308;0.019177;0.490967;-0.787598;0.393799;0.626506;0.652972;0.380524;0.190576;POINTING
5076;-2.294807;9.265181;-1.352338;-0.061957;-0.080657;-0.17276;0.002601;-0.011871;0.008741;0.496582;-0.7771;0.390137;0.626516;0.652989;0.38048;0.190572;POINTING
5077;-2.205058;9.18519;-1.369565;-0.031344;-0.0105;-0.267814;-0.027965;-0.01353;-0.014854;0.491211;-0.7854;0.389893;0.626651;0.652879;0.380459;0.190548;POINTING
5078;-2.206192;9.111683;-1.36456;-0.047575;-0.014502;-0.339061;-0.017226;-0.008265;-0.04337;0.494141;-0.77832;0.384521;0.626772;0.652734;0.380575;0.190414;POINTING
5079;-2.226088;9.060688;-1.380582;-0.082352;-0.014048;-0.381326;0.007066;-0.019561;-0.067738;0.493164;-0.768311;0.392578;0.626854;0.652639;0.38074;0.190138;POINTING
5080;-2.290573;9.092155;-1.323727;-0.076429;-0.093337;-0.34423;0.02293;-0.026253;-0.078856;0.49292;-0.7771;0.398438;0.626909;0.652576;0.380957;0.18974;POINTING
